frame,timestep,n_atoms,surface_area_A2,filled_volume_A3
0,0,6342,67411.60120223924,1581326.7020421121
1,1000,6712,70243.04302190756,1673361.3441056912
2,2000,7160,73769.31577044529,1775549.9341868274
3,3000,7558,77253.64353851884,1877182.143613982
4,4000,7924,80553.8399059012,1962772.0422280214
5,5000,8322,84303.78457001214,2061158.6975264868
6,6000,8676,87871.05286785308,2161446.3201504154
7,7000,9088,91526.52561611743,2264747.67161721
8,8000,9372,94448.38150482756,2339627.241662886
9,9000,9664,96789.21642930206,2419282.413251823
10,10000,9984,99038.79401825927,2503249.535231601
11,11000,10200,100180.15211571955,2568531.5380081516
12,12000,10388,101342.28294648245,2627322.4329028353
13,13000,10622,103152.27992222847,2696267.275749218
14,14000,10840,103985.53297876836,2750607.12496663
15,15000,10936,103776.79752480361,2781208.063779473
16,16000,11096,104377.76667798584,2819366.507268585
17,17000,11270,105038.71240655203,2863042.3928153836
18,18000,11442,105944.21520497586,2904724.5807643738
19,19000,11688,106964.73741741179,2967502.87063702
20,20000,11866,107962.37931863953,3011966.962109886
21,21000,12034,108854.78693079934,3055411.0226661367
22,22000,12144,108871.70183337784,3086382.88211572
23,23000,12258,109456.62917874803,3116659.2652821816
24,24000,12404,110188.38603730727,3151896.710403172
25,25000,12588,111313.13339738107,3198308.1346155424
26,26000,12732,111952.88788151734,3236930.2285856768
27,27000,12908,112890.77880548051,3280420.6541416384
28,28000,13110,114156.01948272454,3328037.569752226
29,29000,13276,115188.47121827673,3369580.6623980217
30,30000,13458,116313.58826673088,3416594.8322544824
31,31000,13672,117608.32848111635,3471398.331800086
32,32000,13864,118779.49459120104,3522492.627120098
33,33000,14106,120236.38265401515,3584529.075728521
34,34000,14226,120983.15501140959,3618561.0292003504
35,35000,14494,122722.56505020004,3689406.839438664
36,36000,14686,123646.27643818324,3741660.2608305574
37,37000,14934,125061.90342205345,3807452.2793843444
38,38000,15110,125925.32820383375,3852380.0216496987
39,39000,15242,126930.94498029354,3885391.943647398
40,40000,15444,128142.98796034715,3940149.0784002948
41,41000,15670,129532.56652019985,4002695.542990365
42,42000,15830,130108.23053681287,4042523.1285679075
43,43000,15992,131004.35606711151,4083324.3804450254
44,44000,16160,132000.06183889767,4129318.519072146
45,45000,16328,132856.98684120557,4172345.2938950947
46,46000,16484,133628.90209551432,4211060.118034591
47,47000,16644,134457.30387019765,4249589.482152585
48,48000,16754,135015.09814097683,4280654.07174278
49,49000,16858,135576.5461298037,4310049.519322875
50,50000,17000,136369.86651585234,4347327.026803838
51,51000,17156,137170.67778647246,4389565.595325153
52,52000,17330,137994.84071205446,4431108.687842722
53,53000,17496,138951.93160471055,4478911.064018248
54,54000,17600,139437.7606741049,4508816.527063743
55,55000,17718,139914.2899805495,4541086.607488625
