frame,step,time_s,time_kappa,energy_eV,n_atoms,ovito_surface_area_A2,gamma_ovito_eV_A2,gamma_ovito_mJ_m2
0,0,0,0,-6090.460000000005,6342,67411.60120223924,0.006930083126173807,111.03217256433346
1,1000,5.458976091549924e-8,0.16427819361861104,-6360.466000000003,6712,70243.04302190756,0.00825337250578945,132.2336058047389
2,2000,1.00792428423777e-7,0.3033169186712824,-6658.859999999989,7160,73769.31577044529,0.010093356461607821,161.71339881420968
3,3000,1.3932764820437355e-7,0.4192818210648227,-6956.717999999982,7558,77253.64353851884,0.011109560153911598,177.99477692614607
4,4000,1.7400377407077397e-7,0.5236334654664468,-7238.489999999979,7924,80553.8399059012,0.011854506267057125,189.9301294868549
5,5000,2.078765432133296e-7,0.625567550435472,-7563.849999999985,8322,84303.78457001214,0.012349362550092993,197.8586012255365
6,6000,2.39355845236924e-7,0.7202989210457161,-7870.58999999998,8676,87871.05286785308,0.01252282707542919,200.63780931875203
7,7000,2.7256348255920266e-7,0.8202314098890044,-8228.003999999966,9088,91526.52561611743,0.012772122530937414,204.63196285652867
8,8000,3.039132646293163e-7,0.914573013194198,-8502.59999999994,9372,94448.38150482756,0.012578807397978925,201.53471296628172
9,9000,3.3345905720916594e-7,1.00348583040842,-8767.259999999944,9664,96789.21642930206,0.012659633430290937,202.82968877017407
10,10000,3.634443820723788e-7,1.093721341994939,-9079.561999999933,9984,99038.79401825927,0.012559664244000561,201.22800582622975
11,11000,3.9135901780672213e-7,1.1777254822779102,-9317.033999999945,10200,100180.15211571955,0.012275545345344809,196.67591921918913
12,12000,4.215166381141005e-7,1.2684794864143423,-9548.345999999978,10388,101342.28294648245,0.011770467028357254,188.58367244101407
13,13000,4.514042719803691e-7,1.3584210142895998,-9783.557999999999,10622,103152.27992222847,0.01162931154701022,186.32211230126168
14,14000,4.804458793389563e-7,1.4458165755933885,-10028.215999999993,10840,103985.53297876836,0.01135104053600425,181.86371918372845
15,15000,5.123913496542476e-7,1.5419507969140576,-10185.351999999979,10936,103776.79752480361,0.010816213515663175,173.29484563150532
16,16000,5.441984743896134e-7,1.637668691773791,-10372.139999999965,11096,104377.76667798584,0.010549411383720213,169.02020421450135
17,17000,5.760658531755406e-7,1.733567910501195,-10570.583999999946,11270,105038.71240655203,0.010306638145085685,165.13054811149385
18,18000,6.095353013167682e-7,1.8342882725222633,-10750.659999999949,11442,105944.21520497586,0.010197517607826029,163.38224436062438
19,19000,6.408169803377395e-7,1.9284249317920665,-11014.449999999957,11688,106964.73741741179,0.010012103295508246,160.4115795725771
20,20000,6.72866037774454e-7,2.024870880163819,-11202.74599999996,11866,107962.37931863953,0.009880275024800945,158.29945782229845
21,21000,7.048104897462745e-7,2.1210020369606095,-11384.423999999952,12034,108854.78693079934,0.009726095010163414,155.82922165347816
22,22000,7.359711616138761e-7,2.2147745466859354,-11534.237999999948,12144,108871.70183337784,0.009393239774695302,150.49629284576238
23,23000,7.699114803152551e-7,2.3169119100595026,-11671.121999999943,12258,109456.62917874803,0.009169385239893038,146.9097477950111
24,24000,8.027881383837044e-7,2.4158483756003903,-11835.489999999942,12404,110188.38603730727,0.008986845489004481,143.98513855851283
25,25000,8.365513538023604e-7,2.5174527780874887,-12010.569999999925,12588,111313.13339738107,0.009032375329969197,144.71460703194685
26,26000,8.700312172062491e-7,2.6182044829924114,-12165.515999999912,12732,111952.88788151734,0.008926719255851175,143.02181010002622
27,27000,9.044626734165941e-7,2.7218198375027445,-12347.827999999909,12908,112890.77880548051,0.008849651057164927,141.78704142843046
28,28000,9.382011493283802e-7,2.8233497908361653,-12545.341999999904,13110,114156.01948272454,0.008851026906671366,141.80908496774163
29,29000,9.717409977556907e-7,2.924282010019346,-12735.919999999902,13276,115188.47121827673,0.008607319721444351,137.90446539065528
30,30000,0.0000010053434924794208,3.0254027521093887,-12912.211999999903,13458,116313.58826673088,0.008626335193951605,138.2091268480112
31,31000,0.0000010364996839720757,3.1191617789417574,-13106.867999999891,13672,117608.32848111635,0.008757713108434206,140.31403309608794
32,32000,0.0000010682936465671864,3.214840064677197,-13289.833999999906,13864,118779.49459120104,0.008802377915468465,141.02964219801203
33,33000,0.0000010997085883398504,3.3093777545387737,-13512.237999999908,14106,120236.38265401515,0.008927131508012387,143.0284151078263
34,34000,0.000001132069199048714,3.406761267169946,-13655.997999999898,14226,120983.15501140959,0.008709361232154452,139.53935063223312
35,35000,0.000001165776204567076,3.5081965159416053,-13876.709999999888,14494,122722.56505020004,0.009045492159865042,144.92476181565962
36,36000,0.0000011981986200599423,3.605766019097423,-14087.049999999916,14686,123646.27643818324,0.008882386365667592,142.31151889232797
37,37000,0.000001228814128355093,3.6978979558397027,-14329.341999999917,14934,125061.90342205345,0.008894906998544219,142.5121215467062
38,38000,0.0000012610145111221634,3.794799290926889,-14516.053999999902,15110,125925.32820383375,0.008796371753005086,140.93341286642368
39,39000,0.0000012918075881630052,3.8874655892838024,-14661.599999999908,15242,126930.94498029354,0.008655320419860257,138.67352136483174
40,40000,0.0000013233264289312342,3.9823159447263223,-14840.36399999991,15444,128142.98796034715,0.008808378967637061,141.12578965365142
41,41000,0.000001352809859302653,4.0710410939460475,-15049.989999999918,15670,129532.56652019985,0.008899615216226816,142.5875555102946
42,42000,0.000001383870028007605,4.164511157246693,-15229.365999999929,15830,130108.23053681287,0.008753128032725373,140.2405720844298
43,43000,0.00000141370464042948,4.2542931264984665,-15394.403999999935,15992,131004.35606711151,0.008712107247909997,139.58334665503443
44,44000,0.0000014469418834746225,4.354314708508518,-15569.83799999994,16160,132000.06183889767,0.008633344440329966,138.3214273557048
45,45000,0.0000014778507559669432,4.447329472718353,-15742.553999999935,16328,132856.98684120557,0.008585156318224665,137.54936852297027
46,46000,0.0000015083910898318967,4.53923518535941,-15894.523999999932,16484,133628.90209551432,0.008605413813683281,137.87392938184183
47,47000,0.000001539038119036641,4.631461978682895,-16062.081999999928,16644,134457.30387019765,0.008536642986000592,136.7720992497014
48,48000,0.0000015685156880649251,4.720169489231078,-16184.273999999925,16754,135015.09814097683,0.008438774742143324,135.2040771145141
49,49000,0.000001599951830817575,4.8147709796779035,-16298.995999999916,16858,135576.5461298037,0.00835082492008698,133.79496561588277
50,50000,0.0000016300671695332986,4.905397744870918,-16443.70799999995,17000,136369.86651585234,0.008317761313260452,133.2652282329505
